reportyear,geotype,geotypevalue,geoname,region_code,region_name,strata_level_name_code,strata_level_name,numerator,denominator,rate,quotient,ca_rr,dof_population
2000,CO,6001,Alameda,1,Bay Area,1,Aggravated assault,5457,1443741,,0.3779763822,,1443939
2000,CO,6001,Alameda,1,Bay Area,2,Forcible rape,568,1443741,,0.03934223659,,1443939
2000,CO,6001,Alameda,1,Bay Area,3,Murder and non-negligent manslaughter,110,1443741,,0.007619095115,,1443939
2000,CO,6001,Alameda,1,Bay Area,4,Robbery,3368,1443741,,0.2332828395,,1443939
2000,CO,6001,Alameda,1,Bay Area,5,Violent crime total,9503,1443741,6.582205534,0.6582205534,1.058658095,1443939
2000,CO,6003,Alpine,3,Central/Southeast Sierra,1,Aggravated assault,9,1208,,0.7450331126,,1208
2000,CO,6003,Alpine,3,Central/Southeast Sierra,2,Forcible rape,1,1208,,0.08278145695,,1208
2000,CO,6003,Alpine,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,,1208,,0,,1208
2000,CO,6003,Alpine,3,Central/Southeast Sierra,4,Robbery,,1208,,0,,1208
2000,CO,6003,Alpine,3,Central/Southeast Sierra,5,Violent crime total,10,1208,8.278145695,0.8278145695,1.331426967,1208
2000,CO,6005,Amador,3,Central/Southeast Sierra,1,Aggravated assault,153,34120,,0.4484173505,,35100
2000,CO,6005,Amador,3,Central/Southeast Sierra,2,Forcible rape,22,34120,,0.06447831184,,35100
2000,CO,6005,Amador,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,1,34120,,0.002930832356,,35100
2000,CO,6005,Amador,3,Central/Southeast Sierra,4,Robbery,3,34120,,0.008792497069,,35100
2000,CO,6005,Amador,3,Central/Southeast Sierra,5,Violent crime total,179,34120,5.246189918,0.5246189918,0.843778183,35100
2000,CO,6007,Butte,2,Butte,1,Aggravated assault,475,203171,,0.2337932087,,203171
2000,CO,6007,Butte,2,Butte,2,Forcible rape,77,203171,,0.03789910962,,203171
2000,CO,6007,Butte,2,Butte,3,Murder and non-negligent manslaughter,8,203171,,0.00393756983,,203171
2000,CO,6007,Butte,2,Butte,4,Robbery,139,203171,,0.0684152758,,203171
2000,CO,6007,Butte,2,Butte,5,Violent crime total,699,203171,3.440451639,0.3440451639,0.553349779,203171
2000,CO,6009,Calaveras,3,Central/Southeast Sierra,1,Aggravated assault,101,40554,,0.2490506485,,40554
2000,CO,6009,Calaveras,3,Central/Southeast Sierra,2,Forcible rape,8,40554,,0.01972678404,,40554
2000,CO,6009,Calaveras,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,4,40554,,0.009863392021,,40554
2000,CO,6009,Calaveras,3,Central/Southeast Sierra,4,Robbery,5,40554,,0.01232924003,,40554
2000,CO,6009,Calaveras,3,Central/Southeast Sierra,5,Violent crime total,118,40554,2.909700646,0.2909700646,0.467985712,40554
2000,CO,6011,Colusa,7,Northern Sacramento Valley,1,Aggravated assault,50,18804,,0.2659008722,,18804
2000,CO,6011,Colusa,7,Northern Sacramento Valley,2,Forcible rape,2,18804,,0.01063603489,,18804
2000,CO,6011,Colusa,7,Northern Sacramento Valley,3,Murder and non-negligent manslaughter,4,18804,,0.02127206977,,18804
2000,CO,6011,Colusa,7,Northern Sacramento Valley,4,Robbery,1,18804,,0.005318017443,,18804
2000,CO,6011,Colusa,7,Northern Sacramento Valley,5,Violent crime total,57,18804,3.031269943,0.3031269943,0.487538477,18804
2000,CO,6013,Contra Costa,1,Bay Area,1,Aggravated assault,2933,948816,,0.3091221059,,948816
2000,CO,6013,Contra Costa,1,Bay Area,2,Forcible rape,231,948816,,0.02434613244,,948816
2000,CO,6013,Contra Costa,1,Bay Area,3,Murder and non-negligent manslaughter,56,948816,,0.005902092713,,948816
2000,CO,6013,Contra Costa,1,Bay Area,4,Robbery,1312,948816,,0.1382776007,,948816
2000,CO,6013,Contra Costa,1,Bay Area,5,Violent crime total,4532,948816,4.776479317,0.4776479317,0.768231631,948816
2000,CO,6015,Del Norte,5,North Coast,1,Aggravated assault,100,27507,,0.3635438252,,27507
2000,CO,6015,Del Norte,5,North Coast,2,Forcible rape,4,27507,,0.01454175301,,27507
2000,CO,6015,Del Norte,5,North Coast,3,Murder and non-negligent manslaughter,1,27507,,0.003635438252,,27507
2000,CO,6015,Del Norte,5,North Coast,4,Robbery,13,27507,,0.04726069728,,27507
2000,CO,6015,Del Norte,5,North Coast,5,Violent crime total,118,27507,4.289817137,0.4289817137,0.689958649,27507
2000,CO,6017,El Dorado,8,Sacramento Area,1,Aggravated assault,633,156299,,0.4049929942,,156299
2000,CO,6017,El Dorado,8,Sacramento Area,2,Forcible rape,37,156299,,0.02367257628,,156299
2000,CO,6017,El Dorado,8,Sacramento Area,3,Murder and non-negligent manslaughter,3,156299,,0.001919398077,,156299
2000,CO,6017,El Dorado,8,Sacramento Area,4,Robbery,29,156299,,0.01855418141,,156299
2000,CO,6017,El Dorado,8,Sacramento Area,5,Violent crime total,702,156299,4.4913915,0.44913915,0.722379139,156299
2000,CO,6019,Fresno,10,San Joaquin Valley,1,Aggravated assault,4131,799407,,0.5167580469,,799407
2000,CO,6019,Fresno,10,San Joaquin Valley,2,Forcible rape,273,799407,,0.03415031392,,799407
2000,CO,6019,Fresno,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,38,799407,,0.004753523549,,799407
2000,CO,6019,Fresno,10,San Joaquin Valley,4,Robbery,1599,799407,,0.2000232672,,799407
2000,CO,6019,Fresno,10,San Joaquin Valley,5,Violent crime total,6041,799407,7.556851516,0.7556851516,1.215416624,799407
2000,CO,6021,Glenn,7,Northern Sacramento Valley,1,Aggravated assault,64,26453,,0.2419385325,,26453
2000,CO,6021,Glenn,7,Northern Sacramento Valley,2,Forcible rape,4,26453,,0.01512115828,,26453
2000,CO,6021,Glenn,7,Northern Sacramento Valley,3,Murder and non-negligent manslaughter,1,26453,,0.00378028957,,26453
2000,CO,6021,Glenn,7,Northern Sacramento Valley,4,Robbery,11,26453,,0.04158318527,,26453
2000,CO,6021,Glenn,7,Northern Sacramento Valley,5,Violent crime total,80,26453,3.024231656,0.3024231656,0.486406465,26453
2000,CO,6023,Humboldt,5,North Coast,1,Aggravated assault,273,126207,,0.2163112981,,126518
2000,CO,6023,Humboldt,5,North Coast,2,Forcible rape,65,126207,,0.05150269003,,126518
2000,CO,6023,Humboldt,5,North Coast,3,Murder and non-negligent manslaughter,4,126207,,0.003169396309,,126518
2000,CO,6023,Humboldt,5,North Coast,4,Robbery,85,126207,,0.06734967157,,126518
2000,CO,6023,Humboldt,5,North Coast,5,Violent crime total,427,126207,3.38333056,0.338333056,0.544162632,126518
2000,CO,6025,Imperial,14,Southern California,1,Aggravated assault,557,142361,,0.391258842,,142361
2000,CO,6025,Imperial,14,Southern California,2,Forcible rape,16,142361,,0.01123903316,,142361
2000,CO,6025,Imperial,14,Southern California,3,Murder and non-negligent manslaughter,4,142361,,0.002809758291,,142361
2000,CO,6025,Imperial,14,Southern California,4,Robbery,130,142361,,0.09131714444,,142361
2000,CO,6025,Imperial,14,Southern California,5,Violent crime total,707,142361,4.966247779,0.4966247779,0.798753303,142361
2000,CO,6027,Inyo,3,Central/Southeast Sierra,1,Aggravated assault,42,17945,,0.2340484815,,18071
2000,CO,6027,Inyo,3,Central/Southeast Sierra,2,Forcible rape,11,17945,,0.06129841181,,18071
2000,CO,6027,Inyo,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,1,17945,,0.005572582892,,18071
2000,CO,6027,Inyo,3,Central/Southeast Sierra,4,Robbery,1,17945,,0.005572582892,,18071
2000,CO,6027,Inyo,3,Central/Southeast Sierra,5,Violent crime total,55,17945,3.064920591,0.3064920591,0.492950726,18071
2000,CO,6029,Kern,10,San Joaquin Valley,1,Aggravated assault,2367,661645,,0.357744712,,661653
2000,CO,6029,Kern,10,San Joaquin Valley,2,Forcible rape,175,661645,,0.02644922882,,661653
2000,CO,6029,Kern,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,37,661645,,0.005592122664,,661653
2000,CO,6029,Kern,10,San Joaquin Valley,4,Robbery,658,661645,,0.09944910035,,661653
2000,CO,6029,Kern,10,San Joaquin Valley,5,Violent crime total,3237,661645,4.892351639,0.4892351639,0.786868116,661653
2000,CO,6031,Kings,10,San Joaquin Valley,1,Aggravated assault,267,129461,,0.206239717,,129461
2000,CO,6031,Kings,10,San Joaquin Valley,2,Forcible rape,31,129461,,0.0239454353,,129461
2000,CO,6031,Kings,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,3,129461,,0.002317300191,,129461
2000,CO,6031,Kings,10,San Joaquin Valley,4,Robbery,63,129461,,0.04866330401,,129461
2000,CO,6031,Kings,10,San Joaquin Valley,5,Violent crime total,364,129461,2.811657565,0.2811657565,0.452216818,129461
2000,CO,6033,Lake,5,North Coast,1,Aggravated assault,185,58309,,0.3172752062,,58325
2000,CO,6033,Lake,5,North Coast,2,Forcible rape,17,58309,,0.02915501895,,58325
2000,CO,6033,Lake,5,North Coast,3,Murder and non-negligent manslaughter,5,58309,,0.008575005574,,58325
2000,CO,6033,Lake,5,North Coast,4,Robbery,27,58309,,0.0463050301,,58325
2000,CO,6033,Lake,5,North Coast,5,Violent crime total,234,58309,4.013102609,0.4013102609,0.645452887,58325
2000,CO,6035,Lassen,6,Northeast Sierra,1,Aggravated assault,52,33828,,0.1537188128,,33828
2000,CO,6035,Lassen,6,Northeast Sierra,2,Forcible rape,12,33828,,0.03547357219,,33828
2000,CO,6035,Lassen,6,Northeast Sierra,3,Murder and non-negligent manslaughter,,33828,,0,,33828
2000,CO,6035,Lassen,6,Northeast Sierra,4,Robbery,9,33828,,0.02660517914,,33828
2000,CO,6035,Lassen,6,Northeast Sierra,5,Violent crime total,73,33828,2.157975641,0.2157975641,0.347080985,33828
2000,CO,6037,Los Angeles,14,Southern California,1,Aggravated assault,57803,9519338,,0.6072165943,,9519330
2000,CO,6037,Los Angeles,14,Southern California,2,Forcible rape,2761,9519338,,0.02900411772,,9519330
2000,CO,6037,Los Angeles,14,Southern California,3,Murder and non-negligent manslaughter,1006,9519338,,0.01056796176,,9519330
2000,CO,6037,Los Angeles,14,Southern California,4,Robbery,28416,9519338,,0.2985081526,,9519330
2000,CO,6037,Los Angeles,14,Southern California,5,Violent crime total,89986,9519338,9.452968263,0.9452968263,1.520381173,9519330
2000,CO,6039,Madera,10,San Joaquin Valley,1,Aggravated assault,597,123109,,0.4849361135,,123109
2000,CO,6039,Madera,10,San Joaquin Valley,2,Forcible rape,43,123109,,0.03492839679,,123109
2000,CO,6039,Madera,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,10,123109,,0.008122882974,,123109
2000,CO,6039,Madera,10,San Joaquin Valley,4,Robbery,153,123109,,0.1242801095,,123109
2000,CO,6039,Madera,10,San Joaquin Valley,5,Violent crime total,804,123109,6.530797911,0.6530797911,1.050389879,123109
2000,CO,6041,Marin,1,Bay Area,1,Aggravated assault,484,226175,,0.213993589,,247289
2000,CO,6041,Marin,1,Bay Area,2,Forcible rape,41,226175,,0.0181275561,,247289
2000,CO,6041,Marin,1,Bay Area,3,Murder and non-negligent manslaughter,5,226175,,0.002210677573,,247289
2000,CO,6041,Marin,1,Bay Area,4,Robbery,101,226175,,0.04465568697,,247289
2000,CO,6041,Marin,1,Bay Area,5,Violent crime total,631,226175,2.789875097,0.2789875097,0.448713405,247289
2000,CO,6043,Mariposa,3,Central/Southeast Sierra,1,Aggravated assault,122,17130,,0.7122008173,,17130
2000,CO,6043,Mariposa,3,Central/Southeast Sierra,2,Forcible rape,5,17130,,0.02918855809,,17130
2000,CO,6043,Mariposa,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,,17130,,0,,17130
2000,CO,6043,Mariposa,3,Central/Southeast Sierra,4,Robbery,3,17130,,0.01751313485,,17130
2000,CO,6043,Mariposa,3,Central/Southeast Sierra,5,Violent crime total,130,17130,7.589025102,0.7589025102,1.220591307,17130
2000,CO,6045,Mendocino,5,North Coast,1,Aggravated assault,257,86265,,0.2979192025,,86265
2000,CO,6045,Mendocino,5,North Coast,2,Forcible rape,29,86265,,0.03361734191,,86265
2000,CO,6045,Mendocino,5,North Coast,3,Murder and non-negligent manslaughter,5,86265,,0.005796093433,,86265
2000,CO,6045,Mendocino,5,North Coast,4,Robbery,27,86265,,0.03129890454,,86265
2000,CO,6045,Mendocino,5,North Coast,5,Violent crime total,318,86265,3.686315423,0.3686315423,0.59289362,86265
2000,CO,6047,Merced,10,San Joaquin Valley,1,Aggravated assault,1070,210554,,0.5081831739,,210554
2000,CO,6047,Merced,10,San Joaquin Valley,2,Forcible rape,58,210554,,0.02754637765,,210554
2000,CO,6047,Merced,10,San Joaquin Valley,3,Murder and non-negligent manslaughter,6,210554,,0.002849625274,,210554
2000,CO,6047,Merced,10,San Joaquin Valley,4,Robbery,172,210554,,0.08168925786,,210554
2000,CO,6047,Merced,10,San Joaquin Valley,5,Violent crime total,1307,210554,6.207433722,0.6207433722,0.998381154,210554
2000,CO,6049,Modoc,6,Northeast Sierra,1,Aggravated assault,35,9449,,0.3704095671,,9449
2000,CO,6049,Modoc,6,Northeast Sierra,2,Forcible rape,2,9449,,0.02116626098,,9449
2000,CO,6049,Modoc,6,Northeast Sierra,3,Murder and non-negligent manslaughter,,9449,,0,,9449
2000,CO,6049,Modoc,6,Northeast Sierra,4,Robbery,1,9449,,0.01058313049,,9449
2000,CO,6049,Modoc,6,Northeast Sierra,5,Violent crime total,38,9449,4.021589586,0.4021589586,0.646817901,9449
2000,CO,6051,Mono,3,Central/Southeast Sierra,1,Aggravated assault,23,12853,,0.1789465494,,12853
2000,CO,6051,Mono,3,Central/Southeast Sierra,2,Forcible rape,3,12853,,0.02334085428,,12853
2000,CO,6051,Mono,3,Central/Southeast Sierra,3,Murder and non-negligent manslaughter,1,12853,,0.007780284758,,12853
2000,CO,6051,Mono,3,Central/Southeast Sierra,4,Robbery,3,12853,,0.02334085428,,12853
2000,CO,6051,Mono,3,Central/Southeast Sierra,5,Violent crime total,30,12853,2.334085428,0.2334085428,0.375405845,12853
2000,CO,6053,Monterey,4,Monterey Bay,1,Aggravated assault,1462,401762,,0.3638970336,,401762
2000,CO,6053,Monterey,4,Monterey Bay,2,Forcible rape,151,401762,,0.03758444054,,401762
2000,CO,6053,Monterey,4,Monterey Bay,3,Murder and non-negligent manslaughter,25,401762,,0.006222589493,,401762
2000,CO,6053,Monterey,4,Monterey Bay,4,Robbery,673,401762,,0.1675121092,,401762
2000,CO,6053,Monterey,4,Monterey Bay,5,Violent crime total,2311,401762,5.752161728,0.5752161728,0.925156856,401762
2000,CO,6055,Napa,1,Bay Area,1,Aggravated assault,236,124279,,0.1898953162,,124279
2000,CO,6055,Napa,1,Bay Area,2,Forcible rape,37,124279,,0.0297717233,,124279
2000,CO,6055,Napa,1,Bay Area,3,Murder and non-negligent manslaughter,3,124279,,0.002413923511,,124279
2000,CO,6055,Napa,1,Bay Area,4,Robbery,46,124279,,0.03701349383,,124279
2000,CO,6055,Napa,1,Bay Area,5,Violent crime total,322,124279,2.590944568,0.2590944568,0.416718139,124279
2000,CO,6057,Nevada,6,Northeast Sierra,1,Aggravated assault,119,92033,,0.1293014462,,92033
2000,CO,6057,Nevada,6,Northeast Sierra,2,Forcible rape,25,92033,,0.02716416937,,92033
2000,CO,6057,Nevada,6,Northeast Sierra,3,Murder and non-negligent manslaughter,1,92033,,0.001086566775,,92033
2000,CO,6057,Nevada,6,Northeast Sierra,4,Robbery,14,92033,,0.01521193485,,92033
2000,CO,6057,Nevada,6,Northeast Sierra,5,Violent crime total,159,92033,1.727641172,0.1727641172,0.277867548,92033
2000,CO,6059,Orange,14,Southern California,1,Aggravated assault,5230,2846289,,0.1837480312,,2846289
2000,CO,6059,Orange,14,Southern California,2,Forcible rape,499,2846289,,0.01753159992,,2846289
2000,CO,6059,Orange,14,Southern California,3,Murder and non-negligent manslaughter,56,2846289,,0.001967474139,,2846289
2000,CO,6059,Orange,14,Southern California,4,Robbery,2815,2846289,,0.09890070896,,2846289
2000,CO,6059,Orange,14,Southern California,5,Violent crime total,8600,2846289,3.021478142,0.3021478142,0.485963599,2846289
2000,CO,6061,Placer,8,Sacramento Area,1,Aggravated assault,398,248399,,0.1602260879,,248399
